PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 11 dot 4.7349989401979965e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -4.537749024064819e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot 4.436614342248624e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot 3.097227733347941e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 1.4443696878952382e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot -8.282685650960351e-06
# TT-PIVMGS:    ortho max err 1.2274426267055993e-11 , max. rank: 130
19 7.742603908093438e-05 4.3625264206770045e-05 126 126 130 94
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.8259286231071536
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.7075029293146691
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.0006325973988437553
# TT-PIVMGS:    ortho 0 pivot 16 dot -0.0003566465085551758
# TT-PIVMGS:    ortho 0 pivot 9 dot 0.000190357597512918
# TT-PIVMGS:    ortho 0 pivot 8 dot -0.0001659462656428269
# TT-PIVMGS:    ortho 0 pivot 10 dot -0.00015629788474969095
# TT-PIVMGS:    ortho 0 pivot 7 dot 0.00013249513448089804
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.00011533757821910115
# TT-PIVMGS:    ortho 0 pivot 6 dot -9.752599978998366e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot -9.582210607517183e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 6.25619519202278e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot 6.0099103077290716e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 4.283267347616245e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -3.623643799922742e-05
# TT-PIVMGS:    ortho 0 pivot 14 dot 3.607060269777973e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -2.8618907843626015e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 1.4707095275061366e-05
# TT-PIVMGS:    ortho 0 pivot 0 dot 1.461255615488907e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 1.153896972880264e-05
# TT-PIVMGS:    ortho max err 1.154468881603421e-11 , max. rank: 137
20 5.8604958831697155e-05 3.298433485306888e-05 132 133 137 98
# TT-PIVMGS:    ortho 0 pivot 20 dot 0.8254978456942218
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.7036534375834957
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.0006389749872094432
# TT-PIVMGS:    ortho 0 pivot 17 dot -0.0003462512604988921
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.00018483745691122606
# TT-PIVMGS:    ortho 0 pivot 9 dot -0.00016874638840517174
# TT-PIVMGS:    ortho 0 pivot 11 dot -0.00015333958943550665
# TT-PIVMGS:    ortho 0 pivot 8 dot 0.00011574109259471395
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.00010264105463934914
