PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, I=0.0, L=1.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=False, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='left_precond')

###### left preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 9 dot -3.57146926146263e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot 2.7769850179009195e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 2.602510628607743e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 2.272106365692507e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -2.008079185943784e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot 1.9611500388854375e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot -1.899806790822689e-05
# TT-PIVMGS:    ortho 0 pivot 15 dot 1.302684160652337e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 1.0967886577138925e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -1.0659297432586042e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 8.3738831420134e-06
# TT-PIVMGS:    ortho 0 pivot 7 dot -6.9263288282874966e-06
# TT-PIVMGS:    ortho 0 pivot 6 dot -1.4655998694414196e-06
# TT-PIVMGS:    ortho 0 pivot 1 dot 1.3818988441063017e-06
# TT-PIVMGS:    ortho 0 pivot 0 dot 4.132891581162313e-07
# TT-PIVMGS:    ortho max err 3.870515019599452e-14 , max. rank: 167
23 8.259557187475217e-07 3.972424389143318e-07 159 159 167 67
# TT-PIVMGS:    ortho 0 pivot 23 dot 0.8366275728083862
# TT-PIVMGS:    ortho 0 pivot 22 dot 0.7130020903525864
# TT-PIVMGS:    ortho 0 pivot 20 dot -0.0002452030410447503
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.0002151207773993186
# TT-PIVMGS:    ortho 0 pivot 18 dot -0.0001520834459376296
# TT-PIVMGS:    ortho 0 pivot 21 dot 5.582279217092659e-05
# TT-PIVMGS:    ortho 0 pivot 17 dot 4.704309483946276e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot -4.604626490306877e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -4.595553675499741e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot 4.384230422425526e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 3.577572472455298e-05
# TT-PIVMGS:    ortho 0 pivot 15 dot -3.481957715663819e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot -2.8871610312938834e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 2.6850958366891192e-05
# TT-PIVMGS:    ortho 0 pivot 16 dot 2.1821057858216475e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -1.811469676131841e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot 1.6761514256112206e-05
# TT-PIVMGS:    ortho 0 pivot 14 dot 1.6263273089654924e-05
