PITTS: OpenMP #threads: 1
PITTS: MPI #procs: 1
# Arguments: Namespace(C=0.1, Cjump=0.1, I=0.0, L=1.0, Ljump=10.0, Rc=0.0, Rr=2, SSOR_jacobiIter=3, SSOR_omega=1.3, adaptive=True, d=6, eps=1e-08, maxIter=90, n=20, preconditioner='TT-rank1', random_rank=2, rhs_type='rhs_random', variant='right_precond')

###### right preconditioning ######
# "iteration"    "rel LSTQ norm"    "rel residual norm"    "new direction rank"      "precond direction rank"    "new Krylov vector rank"    "solution rank"
# TT-PIVMGS:    ortho 0 pivot 5 dot -3.2776718685612743e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 3.0349728364823577e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -2.8414380555964822e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot -2.314193992932704e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot -1.675651032518287e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.5084383096952009e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot 1.7036241120744686e-05
# TT-PIVMGS:    ortho max err 8.479399960306666e-08 , max. rank: 122
18 3.264996356585492e-05 3.264998877477634e-05 114 110 122 83
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.8240088401979482
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.7052061736880132
# TT-PIVMGS:    ortho 0 pivot 15 dot -0.0005557675879542621
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.00040370374242588297
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.00036792139914528215
# TT-PIVMGS:    ortho 0 pivot 11 dot -0.00014670028155888172
# TT-PIVMGS:    ortho 0 pivot 10 dot 0.00013055903398698915
# TT-PIVMGS:    ortho 0 pivot 13 dot -7.546523087361909e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot 4.012118244838079e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -3.934058519794795e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -3.928260890339458e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 3.69867783934592e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -3.4092651323994194e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot -3.029455690750681e-05
# TT-PIVMGS:    ortho 0 pivot 3 dot 2.7080649161044003e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 2.4255515231271646e-05
# TT-PIVMGS:    ortho 0 pivot 1 dot -1.3336002815484901e-05
# TT-PIVMGS:    ortho 0 pivot 2 dot -8.330858527149515e-06
# TT-PIVMGS:    ortho max err 3.976116839952797e-06 , max. rank: 129
# TT-PIVMGS:    ortho 1 pivot 0 dot 3.976116839952797e-06
# TT-PIVMGS:    ortho max err 1.1355166806836792e-11 , max. rank: 129
19 2.515863273313775e-05 2.515858989408909e-05 123 115 129 86
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.8233545601762899
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.7075184108246424
# TT-PIVMGS:    ortho 0 pivot 16 dot -0.000576771086836899
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.00043709286660998173
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.0003812889904408856
# TT-PIVMGS:    ortho 0 pivot 12 dot -0.000168522717569973
# TT-PIVMGS:    ortho 0 pivot 14 dot -0.00011497854800720034
# TT-PIVMGS:    ortho 0 pivot 11 dot 9.804687830193733e-05
# TT-PIVMGS:    ortho 0 pivot 13 dot 9.241230965950989e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -5.641156034420086e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot 4.8459010244041555e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot -4.238812647421562e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 2.8007666441721285e-05
# TT-PIVMGS:    ortho max err 6.462657638305405e-06 , max. rank: 136
# TT-PIVMGS:    ortho 1 pivot 3 dot 6.462657638305405e-06
# TT-PIVMGS:    ortho 1 pivot 2 dot -5.472591504256455e-06
# TT-PIVMGS:    ortho 1 pivot 5 dot -4.890996433206361e-06
# TT-PIVMGS:    ortho 1 pivot 4 dot -3.996794304702341e-06
# TT-PIVMGS:    ortho max err 1.8295859863584618e-06 , max. rank: 136
20 1.953843854461779e-05 1.9538391961506856e-05 128 123 136 89
# TT-PIVMGS:    ortho 0 pivot 20 dot 0.824447708221912
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.7076527268840385
# TT-PIVMGS:    ortho 0 pivot 17 dot -0.0005962473187367048
# TT-PIVMGS:    ortho 0 pivot 18 dot 0.0004739021065236944
# TT-PIVMGS:    ortho 0 pivot 16 dot 0.00037899941952483987
# TT-PIVMGS:    ortho 0 pivot 13 dot -0.00018375440051472333
# TT-PIVMGS:    ortho 0 pivot 14 dot 0.00015154027091680497
# TT-PIVMGS:    ortho 0 pivot 15 dot -0.00014537731448584224
# TT-PIVMGS:    ortho 0 pivot 12 dot 7.840197508383277e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot -7.271044991514174e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot 5.8601108180172425e-05
# TT-PIVMGS:    ortho 0 pivot 8 dot -3.458711454654324e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot 3.025180749573024e-05
# TT-PIVMGS:    ortho 0 pivot 5 dot -2.5705987591471708e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot 1.7303782698542894e-05
# TT-PIVMGS:    ortho 0 pivot 4 dot 1.4085565537192216e-05
# TT-PIVMGS:    ortho max err 1.4127567240677236e-05 , max. rank: 141
# TT-PIVMGS:    ortho 1 pivot 1 dot 1.4127567240677236e-05
# TT-PIVMGS:    ortho 1 pivot 3 dot -8.810548967125818e-06
# TT-PIVMGS:    ortho 1 pivot 2 dot -5.864071904108925e-06
# TT-PIVMGS:    ortho 1 pivot 0 dot -5.664881437992316e-06
# TT-PIVMGS:    ortho max err 2.3430792613441526e-06 , max. rank: 141
21 1.5229798483992025e-05 1.522987799877019e-05 134 129 141 91
# TT-PIVMGS:    ortho 0 pivot 21 dot 0.8237254093063997
# TT-PIVMGS:    ortho 0 pivot 20 dot 0.7072634268431606
# TT-PIVMGS:    ortho 0 pivot 18 dot -0.0006186499244892705
# TT-PIVMGS:    ortho 0 pivot 19 dot 0.0005092457493071842
# TT-PIVMGS:    ortho 0 pivot 17 dot 0.00039029826251436167
# TT-PIVMGS:    ortho 0 pivot 15 dot 0.00017762812577833478
# TT-PIVMGS:    ortho 0 pivot 16 dot -0.0001769479628145991
# TT-PIVMGS:    ortho 0 pivot 14 dot -0.00017633261613222637
# TT-PIVMGS:    ortho 0 pivot 13 dot 6.693671399976824e-05
# TT-PIVMGS:    ortho 0 pivot 11 dot -6.021325242450658e-05
# TT-PIVMGS:    ortho 0 pivot 10 dot 4.664596723318818e-05
# TT-PIVMGS:    ortho 0 pivot 7 dot 2.621160071144754e-05
# TT-PIVMGS:    ortho 0 pivot 12 dot 1.8205510403493212e-05
# TT-PIVMGS:    ortho 0 pivot 6 dot -1.750256859741695e-05
# TT-PIVMGS:    ortho 0 pivot 9 dot -1.7202693998333643e-05
